,id,permalink,text,date,username,name,hashtags,links,lang
511,1330501648335167488,https://twitter.com/KentonEpard/status/1330501648335167488,"Evidence of cancel culture. Equivalent of “speech and thought“ bullying. Everyone having right to say what they want is a foundational principle of our country. 

#cancelled #CancelCulture",2020-11-22T13:21:27.000Z,@KentonEpard,Kenton Epard,"['#cancelled', '#CancelCulture']","['https://twitter.com/KentonEpard', 'https://twitter.com/KentonEpard', 'https://twitter.com/KentonEpard/status/1330501648335167488', 'https://twitter.com/hashtag/cancelled?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/timurkuran/status/1330007732389367808/photo/1']",en
512,1330496963889025024,https://twitter.com/mkrivich/status/1330496963889025024,It’s Time to Cancel the Cancel Culture. Now.  #perceptions #observations #randomness #cancelculture #truth #thoughts #ideas #freedomofspeechandexpression http://bit.ly/2OFObhP,2020-11-22T13:02:50.000Z,@mkrivich,"Michael Krivich, MHA, LFACHE","['#perceptions', '#observations', '#randomness', '#cancelculture', '#truth', '#thoughts', '#ideas', '#freedomofspeechandexpression']","['https://twitter.com/mkrivich', 'https://twitter.com/mkrivich', 'https://twitter.com/mkrivich/status/1330496963889025024', 'https://twitter.com/hashtag/perceptions?src=hashtag_click', 'https://twitter.com/hashtag/observations?src=hashtag_click', 'https://twitter.com/hashtag/randomness?src=hashtag_click', 'https://twitter.com/hashtag/cancelculture?src=hashtag_click', 'https://twitter.com/hashtag/truth?src=hashtag_click', 'https://twitter.com/hashtag/thoughts?src=hashtag_click', 'https://twitter.com/hashtag/ideas?src=hashtag_click', 'https://twitter.com/hashtag/freedomofspeechandexpression?src=hashtag_click', 'https://t.co/LjkX65GgDb?amp=1']",en
513,1330495972108083200,https://twitter.com/mkrivich/status/1330495972108083200,10 Ways To Combat The Cancel Culture And Save Your Sanity #perceptions #observations #cancelculture #truth #thoughts #ideas #freedomofspeech #freedomofexpression https://bit.ly/3jZWTGJ,2020-11-22T12:58:53.000Z,@mkrivich,"Michael Krivich, MHA, LFACHE","['#perceptions', '#observations', '#cancelculture', '#truth', '#thoughts', '#ideas', '#freedomofspeech', '#freedomofexpression']","['https://twitter.com/mkrivich', 'https://twitter.com/mkrivich', 'https://twitter.com/mkrivich/status/1330495972108083200', 'https://twitter.com/hashtag/perceptions?src=hashtag_click', 'https://twitter.com/hashtag/observations?src=hashtag_click', 'https://twitter.com/hashtag/cancelculture?src=hashtag_click', 'https://twitter.com/hashtag/truth?src=hashtag_click', 'https://twitter.com/hashtag/thoughts?src=hashtag_click', 'https://twitter.com/hashtag/ideas?src=hashtag_click', 'https://twitter.com/hashtag/freedomofspeech?src=hashtag_click', 'https://twitter.com/hashtag/freedomofexpression?src=hashtag_click', 'https://t.co/x81xJh9Opg?amp=1']",en
514,1330457795934580737,https://twitter.com/Real_JB_7/status/1330457795934580737,"SJWs,Liberals,Democrats,and BLMs:

I have a reason for you,what if you hate cancel culture but you hate your opponents?

Acting like an animal,shouting like a lion for no reason.

Chill and be professional.

If not,you're not an anti-cancel culture.

#CancelCulture",2020-11-22T10:27:11.000Z,@Real_JB_7,President-Elect of Cascadia Joshua Balondo,['#CancelCulture'],"['https://twitter.com/Real_JB_7', 'https://twitter.com/Real_JB_7', 'https://twitter.com/Real_JB_7/status/1330457795934580737', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click']",en
515,1330454725171453953,https://twitter.com/Real_JB_7/status/1330454725171453953,"#CancelCulture can cancel ourselves.

You,SJWs,BLM,AntiFa,Republicans,Democrats,Zionists,Liberals,Modern Conservatives,celebrities,singers,mainstream media,& degenerates in the USA,you're deserving for using cancel culture.

Would you cancel 
@JoeBiden
 & 
@realDonaldTrump
 please?",2020-11-22T10:14:59.000Z,@Real_JB_7,President-Elect of Cascadia Joshua Balondo,['#CancelCulture'],"['https://twitter.com/Real_JB_7', 'https://twitter.com/Real_JB_7', 'https://twitter.com/Real_JB_7/status/1330454725171453953', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/JoeBiden', 'https://twitter.com/realDonaldTrump']",en
516,1330402051168358406,https://twitter.com/CM_Writer/status/1330402051168358406,"Lol Social media is entertaining. I woke up to the “anti-cancel culture” people canceling 
@TuckerCarlson
  #CancelCulture #TuckerCarlson",2020-11-22T06:45:41.000Z,@CM_Writer,CM Writer,"['#CancelCulture', '#TuckerCarlson']","['https://twitter.com/CM_Writer', 'https://twitter.com/CM_Writer', 'https://twitter.com/CM_Writer/status/1330402051168358406', 'https://twitter.com/TuckerCarlson', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://twitter.com/hashtag/TuckerCarlson?src=hashtag_click']",en
517,1330353133718032385,https://twitter.com/Nickfreespeech/status/1330353133718032385,"I think it's time for the right to engage in ""cancel culture"". First port of call cancel Cindy!!!
Who's with me?
#nzpol #cancelled #CancelCulture",2020-11-22T03:31:18.000Z,@Nickfreespeech,Big Poppa Free Speecher,"['#nzpol', '#cancelled', '#CancelCulture']","['https://twitter.com/Nickfreespeech', 'https://twitter.com/Nickfreespeech', 'https://twitter.com/Nickfreespeech/status/1330353133718032385', 'https://twitter.com/hashtag/nzpol?src=hashtag_click', 'https://twitter.com/hashtag/cancelled?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click']",en
518,1330282525160316929,https://twitter.com/mkrivich/status/1330282525160316929,10 Ways To Combat The Cancel Culture And Save Your Sanity #perceptions #observations #cancelculture #truth #thoughts #ideas #freedomofspeech #freedomofexpression https://bit.ly/3jZWTGJ,2020-11-21T22:50:44.000Z,@mkrivich,"Michael Krivich, MHA, LFACHE","['#perceptions', '#observations', '#cancelculture', '#truth', '#thoughts', '#ideas', '#freedomofspeech', '#freedomofexpression']","['https://twitter.com/mkrivich', 'https://twitter.com/mkrivich', 'https://twitter.com/mkrivich/status/1330282525160316929', 'https://twitter.com/hashtag/perceptions?src=hashtag_click', 'https://twitter.com/hashtag/observations?src=hashtag_click', 'https://twitter.com/hashtag/cancelculture?src=hashtag_click', 'https://twitter.com/hashtag/truth?src=hashtag_click', 'https://twitter.com/hashtag/thoughts?src=hashtag_click', 'https://twitter.com/hashtag/ideas?src=hashtag_click', 'https://twitter.com/hashtag/freedomofspeech?src=hashtag_click', 'https://twitter.com/hashtag/freedomofexpression?src=hashtag_click', 'https://t.co/x81xJh9Opg?amp=1']",en
519,1330278105840300034,https://twitter.com/NanettesZone/status/1330278105840300034,"I do NOT think she should loose her job for being willfully uninformed and for drinking the kool-aid. This cancel culture can be a slippery slope. #TheMandalorian
 #CancelCulture",2020-11-21T22:33:10.000Z,@NanettesZone,Nanette,"['#TheMandalorian', '#CancelCulture']","['https://twitter.com/NanettesZone', 'https://twitter.com/NanettesZone', 'https://twitter.com/NanettesZone/status/1330278105840300034', 'https://twitter.com/hashtag/TheMandalorian?src=hashtag_click', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click', 'https://t.co/I5AttSQYGW?amp=1', 'https://t.co/I5AttSQYGW?amp=1']",en
520,1330262674962309125,https://twitter.com/SassAmericas/status/1330262674962309125,"We want to hear from all of you!! What are your thoughts about cancel culture?? Do you love it?? Do you hate it?? Have you ever been cancelled? Has your favorite celebrity ever been cancelled? DM us or reply to be featured in this weeks podcast! 
 #CancelCulture",2020-11-21T21:31:51.000Z,@SassAmericas,Americas Sass Podcast,['#CancelCulture'],"['https://twitter.com/SassAmericas', 'https://twitter.com/SassAmericas', 'https://twitter.com/SassAmericas/status/1330262674962309125', 'https://twitter.com/hashtag/CancelCulture?src=hashtag_click']",en
